Customer_ID,Weeknum,Product,Customer_Number,Sum_Quantity,Avg_Price_Change,Avg_Price_Change_1,Sum_Quantity_1_minus_Sum_Quantity,Avg_Quantity_for_Week,Avg_Quantity_for_PO,All_week,Count_week_PO,Standard_Price,Above_Standard_Price,Below_Standard_Price,Total_Quantity_for_Customer,Total_Quantity,Holiday,Temp_Hi,Temp_Lo,Temp_Rain,Frequency_PO,Sum_Quantity_1_Y
0.0081,11,7290000408354,416000009,12,2.97,2.97,-12,12,14.53,23,19,2.97,0,0,103273,12757437,0,21.57,11.29,0,1.21,0
0.0081,12,7290000408354,416000009,0,2.97,2.97,12,12,14.53,23,19,2.97,0,1,103273,12757437,0,30.29,12.29,0,1.21,12
0.0081,13,7290000408354,416000009,12,2.97,2.97,-12,12,14.53,23,19,2.97,0,0,103273,12757437,1,24.86,14.43,0,1.21,0
0.0081,14,7290000408354,416000009,0,2.97,2.97,12,12,14.53,23,19,2.97,0,1,103273,12757437,1,25.71,13.43,0,1.21,12
0.0081,15,7290000408354,416000009,12,2.97,2.97,0,12,14.53,23,19,2.97,0,0,103273,12757437,1,23.43,14.57,1,1.21,12
0.0081,16,7290000408354,416000009,12,2.97,2.97,0,12,14.53,23,19,2.97,0,0,103273,12757437,1,26.86,17.57,0,1.21,12
0.0081,17,7290000408354,416000009,12,2.97,2.97,-12,12,14.53,23,19,2.97,0,0,103273,12757437,0,24.14,15.29,1,1.21,0
0.0081,18,7290000408354,416000009,0,2.97,2.97,12,12,14.53,23,19,2.97,0,1,103273,12757437,1,34,21,0,1.21,12
0.0081,19,7290000408354,416000009,12,2.97,2.97,0,12,14.53,23,19,2.97,0,0,103273,12757437,0,27.29,18.29,0,1.21,12
0.0081,20,7290000408354,416000009,12,2.97,2.97,0,12,14.53,23,19,2.97,0,0,103273,12757437,1,31.86,19,0,1.21,12
0.0081,21,7290000408354,416000009,12,2.97,2.97,0,12,14.53,23,19,2.97,0,0,103273,12757437,1,33.14,21.14,0,1.21,12
0.0081,22,7290000408354,416000009,12,2.97,2.97,-12,12,14.53,23,19,2.97,0,0,103273,12757437,0,28.43,21.29,0,1.21,0
0.0081,23,7290000408354,416000009,0,2.97,2.97,24,12,14.53,23,19,2.97,0,1,103273,12757437,0,29.71,21.43,0,1.21,24
0.0081,24,7290000408354,416000009,24,2.97,2.97,24,12,14.53,23,19,2.97,0,0,103273,12757437,0,32.29,21.29,0,1.21,24
0.0081,25,7290000408354,416000009,24,2.97,2.97,0,12,14.53,23,19,2.97,0,0,103273,12757437,0,30.71,22.71,0,1.21,12
0.0081,26,7290000408354,416000009,12,2.97,2.97,0,12,14.53,23,19,2.97,0,0,103273,12757437,1,26.29,19.57,0,1.21,12
0.0081,27,7290000408354,416000009,12,2.97,2.97,0,12,14.53,23,19,2.97,0,0,103273,12757437,0,31.43,23.14,0,1.21,12
0.0081,28,7290000408354,416000009,12,2.97,2.97,12,12,14.53,23,19,2.97,0,0,103273,12757437,0,32.14,23.86,0,1.21,24
0.0081,29,7290000408354,416000009,24,2.97,2.97,-24,12,14.53,23,19,2.97,0,0,103273,12757437,1,32,24.43,0,1.21,0
0.0081,30,7290000408354,416000009,0,2.97,2.97,12,12,14.53,23,19,2.97,0,1,103273,12757437,0,33,24.71,0,1.21,12
0.0081,31,7290000408354,416000009,12,2.97,2.97,12,12,14.53,23,19,2.97,0,0,103273,12757437,0,31.71,24.14,0,1.21,24
0.0081,32,7290000408354,416000009,24,2.97,2.75,0,12,14.53,23,19,2.97,0,0,103273,12757437,0,32,25.14,0,1.21,12
0.0081,33,7290000408354,416000009,12,2.75,2.75,0,12,14.53,23,19,2.97,0,1,103273,12757437,0,31.57,24.29,0,1.21,12
0.0081,34,7290000408354,416000009,12,2.75,2.75,0,12,14.53,23,19,2.97,0,1,103273,12757437,0,31.57,24.43,0,1.21,12
0.0106,13,7290000408354,416000010,0,2.97,2.97,24,10,21,21,10,2.97,0,1,134894,12757437,1,24.86,14.43,0,2.1,24
